
Felt: narsjo


Dato         Nedbør  Temperatur  Snømag.    Simulert   Observert         H90         L90         H50         L50
14/06-2016       0.0       8.4       0.7       2.143       2.947  -10000.000  -10000.000  -10000.000  -10000.000
15/06-2016       1.1       8.9       0.5       2.004       2.859  -10000.000  -10000.000  -10000.000  -10000.000
16/06-2016       4.1      10.7       0.3       1.990       2.795  -10000.000  -10000.000  -10000.000  -10000.000
17/06-2016       0.0      12.7       0.2       1.917       2.788  -10000.000  -10000.000  -10000.000  -10000.000
18/06-2016       0.1       7.9       0.1       1.755       2.769  -10000.000  -10000.000  -10000.000  -10000.000
19/06-2016       0.0       4.4       0.1       1.630       2.686  -10000.000  -10000.000  -10000.000  -10000.000
20/06-2016       0.5       3.9       0.1       1.519       2.601  -10000.000  -10000.000  -10000.000  -10000.000
21/06-2016       8.6       9.5       0.1       1.666       2.541  -10000.000  -10000.000  -10000.000  -10000.000
22/06-2016       4.8      10.0       0.1       1.850       2.623  -10000.000  -10000.000  -10000.000  -10000.000
23/06-2016       0.0      10.6       0.0       1.752       2.623  -10000.000  -10000.000  -10000.000  -10000.000
24/06-2016       1.4      12.7       0.0       1.599       2.560  -10000.000  -10000.000  -10000.000  -10000.000
25/06-2016      15.5      13.0       0.0       1.973       2.714  -10000.000  -10000.000  -10000.000  -10000.000
26/06-2016       0.0      12.5       0.0       2.163       2.888  -10000.000  -10000.000  -10000.000  -10000.000
27/06-2016       5.7      15.2       0.0       2.082       2.868  -10000.000  -10000.000  -10000.000  -10000.000
28/06-2016       1.5      11.2       0.0       2.027       2.790  -10000.000  -10000.000  -10000.000  -10000.000
29/06-2016       2.0       7.5       0.0       1.878       2.681  -10000.000  -10000.000  -10000.000  -10000.000
30/06-2016       0.2      10.2       0.0       1.727       2.522  -10000.000  -10000.000  -10000.000  -10000.000
01/07-2016       1.2       8.3       0.0       1.602       2.416  -10000.000  -10000.000  -10000.000  -10000.000
02/07-2016       4.9       9.0       0.0       1.614       2.358  -10000.000  -10000.000  -10000.000  -10000.000
03/07-2016       7.6       7.8       0.0       1.794       2.391  -10000.000  -10000.000  -10000.000  -10000.000
04/07-2016       0.5       6.0       0.0       1.790       2.394  -10000.000  -10000.000  -10000.000  -10000.000
---------------------------------------------------------------------------------------------------------------
05/07-2016       3.7       7.7       0.0       1.731       2.288       2.512       2.023       2.374       2.195
06/07-2016       8.7       7.8       0.0       1.927       2.482       2.871       2.077       2.657       2.326
07/07-2016       1.4       5.7       0.0       1.980       2.528       3.036       2.110       2.812       2.383
08/07-2016       1.6       5.4       0.0       1.839       2.297       2.951       1.888       2.623       2.143
09/07-2016       0.0       5.2       0.0       1.700       2.123       2.777       1.732       2.398       1.953
10/07-2016       0.0       7.7       0.0       1.544       1.914       2.474       1.568       2.172       1.764
11/07-2016       0.9      11.5       0.0       1.447       1.809       2.269       1.386       2.005       1.642
12/07-2016      11.9      10.4       0.0       1.725       2.167       2.820       1.594       2.408       1.893
13/07-2016       0.5      11.1       0.0       1.863       2.356       3.069       1.676       2.634       2.043


Felt: aulestad


Dato         Nedbør  Temperatur  Snømag.    Simulert   Observert         H90         L90         H50         L50
14/06-2016       0.8      11.0       2.6      14.759       4.928  -10000.000  -10000.000  -10000.000  -10000.000
15/06-2016       0.0      12.0       2.1      13.950       4.552  -10000.000  -10000.000  -10000.000  -10000.000
16/06-2016      14.1       9.5       1.8      17.860       8.264  -10000.000  -10000.000  -10000.000  -10000.000
17/06-2016       0.8      13.5       1.4      16.847       7.713  -10000.000  -10000.000  -10000.000  -10000.000
18/06-2016       0.9      11.3       1.1      14.868       6.712  -10000.000  -10000.000  -10000.000  -10000.000
19/06-2016       0.4       9.7       1.0      13.298       5.353  -10000.000  -10000.000  -10000.000  -10000.000
